Cantitate,Zona 1,Zona 2,Zona 3,Zona 4
10,11,15,24,43
25,15,20,33,58
50,19,25,42,74
75,22,29,48,84
100,24,32,53,93
200,31,40,66,117
300,35,46,76,134
400,39,50,84,147
500,42,54,90,159
600,44,58,96,169
700,47,61,101,178
800,49,64,105,186
900,51,66,110,193
1000,53,68,114,200
2000,66,86,143,252
3000,76,98,164,288
4000,84,109,180,318
5000,90,117,194,342
6000,96,124,206,364
7000,101,131,217,382
8000,105,137,227,400
9000,110,142,236,416
10000,113,148,245,431
15000,130,169,280,493
20000,143,186,308,543
25000,154,200,332,585
30000,164,213,353,621
35000,172,224,372,654
40000,180,234,385,684
45000,187,244,405,712
50000,194,252,419,737
55000,200,260,432,761
60000,206,268,445,783
65000,212,275,457,804
70000,217,283,468,824
75000,222,289,479,843
80000,227,295,490,862
85000,231,301,500,879
90000,236,301,509,896
95000,240,313,519,913
100000,244,318,528,928
110000,252,328,544,958
120000,260,338,560,986
130000,267,347,576,1013
140000,273,356,590,1038
150000,280,364,604,1064
